mal_id,title,type,episodes,score,popularity,rank,status,genre
1,Cowboy Bebop,TV,26.0,8.75,42,46.0,Finished Airing,Action
5,Cowboy Bebop: Tengoku no Tobira,Movie,1.0,8.38,646,218.0,Finished Airing,Action
6,Trigun,TV,26.0,8.22,262,379.0,Finished Airing,Action
7,Witch Hunter Robin,TV,26.0,7.23,1974,3315.0,Finished Airing,Action
8,Bouken Ou Beet,TV,52.0,6.92,5717,4873.0,Finished Airing,Action
15,Eyeshield 21,TV,145.0,7.91,1382,838.0,Finished Airing,Sports
16,Hachimitsu to Clover,TV,24.0,7.98,951,717.0,Finished Airing,Comedy
17,Hungry Heart: Wild Striker,TV,52.0,7.54,4731,1887.0,Finished Airing,Sports
18,Initial D Fourth Stage,TV,24.0,8.17,1288,451.0,Finished Airing,Action
19,Monster,TV,74.0,8.89,119,23.0,Finished Airing,Drama
20,Naruto,TV,220.0,8.01,9,679.0,Finished Airing,Action
21,One Piece,TV,,8.73,17,52.0,Currently Airing,Action
22,Tennis no Oujisama,TV,178.0,7.84,1370,982.0,Finished Airing,Sports
23,Ring ni Kakero 1,TV,12.0,6.35,8901,8192.0,Finished Airing,Sports
24,School Rumble,TV,26.0,7.88,779,890.0,Finished Airing,Comedy
25,Sunabouzu,TV,24.0,7.36,1714,2613.0,Finished Airing,Action
26,Texhnolyze,TV,22.0,7.75,966,1209.0,Finished Airing,Avant Garde
27,Trinity Blood,TV,24.0,7.28,1363,3008.0,Finished Airing,Action
28,Yakitate!! Japan,TV,69.0,7.91,2256,831.0,Finished Airing,Comedy
29,Zipang,TV,26.0,7.49,4866,2059.0,Finished Airing,Action
30,Shinseiki Evangelion,TV,26.0,8.36,45,246.0,Finished Airing,Action
31,Shinseiki Evangelion Movie: Shi to Shinsei,Movie,1.0,7.49,978,2051.0,Finished Airing,Action
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1.0,8.56,178,119.0,Finished Airing,Action
33,Kenpuu Denki Berserk,TV,25.0,8.6,302,102.0,Finished Airing,Action
43,Koukaku Kidoutai,Movie,1.0,8.27,342,330.0,Finished Airing,Action
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4.0,8.69,924,66.0,Finished Airing,Action
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94.0,8.28,473,313.0,Finished Airing,Action
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1.0,7.55,3272,1803.0,Finished Airing,Drama
47,Akira,Movie,1.0,8.16,208,468.0,Finished Airing,Action
